subTaskIndex	needTaskIndex	needLevel	rewardExp	rewardMoney	rewardBindRMB	rewardItems	taskType	taskParam	taskParamWhat	TaskGuide	taskWhat	khdtaskName1	desc1	khdtaskName2	desc2	ChuFa1	ChuFa2
137	136	130	18888	0	0	0	3	(113,0)			     #C(#FFFF00)绝美艳后#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【130级】绝美艳后#n（未完成）	     通关副本#C(#FFFF00)绝美艳后#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【130级】绝美艳后#C(#00EE00)（已完成）#n	     通关副本#C(#FFFF00)绝美艳后#n	#K(dlg,SHOW_DUNGEON)	#K(get_award,137)
138	137	131	18888	0	0	0	3	(114,0)			     #C(#FFFF00)执法士兵#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【131级】执法士兵#n（未完成）	     通关副本#C(#FFFF00)执法士兵#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【131级】执法士兵#C(#00EE00)（已完成）#n	     通关副本#C(#FFFF00)执法士兵#n	#K(dlg,SHOW_DUNGEON)	#K(get_award,138)
139	138	132	18888	0	0	0	3	(115,0)			     #C(#FFFF00)城中士兵#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【132级】城中士兵#n（未完成）	     通关副本#C(#FFFF00)城中士兵#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【132级】城中士兵#C(#00EE00)（已完成）#n	     通关副本#C(#FFFF00)城中士兵#n	#K(dlg,SHOW_DUNGEON)	#K(get_award,139)
140	139	133	18888	0	0	0	3	(116,0)			     #C(#FFFF00)刀锋战士#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【133级】刀锋战士#n（未完成）	     通关副本#C(#FFFF00)刀锋战士#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【133级】刀锋战士#C(#00EE00)（已完成）#n	     通关副本#C(#FFFF00)刀锋战士#n	#K(dlg,SHOW_DUNGEON)	#K(get_award,140)
141	140	134	18888	0	0	0	3	(117,0)			     #C(#FFFF00)屠龙剑圣#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【134级】屠龙剑圣#n（未完成）	     通关副本#C(#FFFF00)屠龙剑圣#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【134级】屠龙剑圣#C(#00EE00)（已完成）#n	     通关副本#C(#FFFF00)屠龙剑圣#n	#K(dlg,SHOW_DUNGEON)	#K(get_award,141)
142	141	135	18888	0	0	0	3	(118,0)			     #C(#FFFF00)放哨者#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【135级】放哨者#n（未完成）	     通关副本#C(#FFFF00)放哨者#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【135级】放哨者#C(#00EE00)（已完成）#n	     通关副本#C(#FFFF00)放哨者#n	#K(dlg,SHOW_DUNGEON)	#K(get_award,142)
143	142	136	18888	0	0	0	3	(119,0)			     #C(#FFFF00)夺命手#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【136级】夺命手#n（未完成）	     通关副本#C(#FFFF00)夺命手#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【136级】夺命手#C(#00EE00)（已完成）#n	     通关副本#C(#FFFF00)夺命手#n	#K(dlg,SHOW_DUNGEON)	#K(get_award,143)
144	143	137	18888	0	0	0	3	(120,0)			     #C(#FFFF00)守卫者#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【137级】守卫者#n（未完成）	     通关副本#C(#FFFF00)守卫者#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【137级】守卫者#C(#00EE00)（已完成）#n	     通关副本#C(#FFFF00)守卫者#n	#K(dlg,SHOW_DUNGEON)	#K(get_award,144)
145	144	138	18888	0	0	0	3	(121,0)			     #C(#FFFF00)雷神#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【138级】雷神#n（未完成）	     通关副本#C(#FFFF00)雷神#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【138级】雷神#C(#00EE00)（已完成）#n	     通关副本#C(#FFFF00)雷神#n	#K(dlg,SHOW_DUNGEON)	#K(get_award,145)
146	145	139	18888	0	0	0	3	(122,0)			     #C(#FFFF00)天堂圣使#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【139级】天堂圣使#n（未完成）	     通关副本#C(#FFFF00)天堂圣使#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【139级】天堂圣使#C(#00EE00)（已完成）#n	     通关副本#C(#FFFF00)天堂圣使#n	#K(dlg,SHOW_DUNGEON)	#K(get_award,146)
147	0	140	18888	0	0	0	3	(123,0)			     #C(#FFFF00)死亡守卫#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【140级】死亡守卫#n（未完成）	     通关副本#C(#FFFF00)死亡守卫#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【140级】死亡守卫#C(#00EE00)（已完成）#n	     通关副本#C(#FFFF00)死亡守卫#n	#K(dlg,SHOW_DUNGEON)	#K(get_award,147)
148	147	141	18888	0	0	0	3	(124,0)			     #C(#FFFF00)死亡勇士#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【141级】死亡勇士#n（未完成）	     通关副本#C(#FFFF00)死亡勇士#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【141级】死亡勇士#C(#00EE00)（已完成）#n	     通关副本#C(#FFFF00)死亡勇士#n	#K(dlg,SHOW_DUNGEON)	#K(get_award,148)
149	148	142	18888	0	0	0	3	(125,0)			     #C(#FFFF00)骷髅王#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【142级】骷髅王#n（未完成）	     通关副本#C(#FFFF00)骷髅王#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【142级】骷髅王#C(#00EE00)（已完成）#n	     通关副本#C(#FFFF00)骷髅王#n	#K(dlg,SHOW_DUNGEON)	#K(get_award,149)
150	149	143	18888	0	0	0	3	(126,0)			     #C(#FFFF00)圣城守卫#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【143级】圣城守卫#n（未完成）	     通关副本#C(#FFFF00)圣城守卫#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【143级】圣城守卫#C(#00EE00)（已完成）#n	     通关副本#C(#FFFF00)圣城守卫#n	#K(dlg,SHOW_DUNGEON)	#K(get_award,150)
151	150	144	18888	0	0	0	3	(127,0)			     #C(#FFFF00)圣城勇士#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【144级】圣城勇士#n（未完成）	     通关副本#C(#FFFF00)圣城勇士#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【144级】圣城勇士#C(#00EE00)（已完成）#n	     通关副本#C(#FFFF00)圣城勇士#n	#K(dlg,SHOW_DUNGEON)	#K(get_award,151)
152	151	145	18888	0	0	0	3	(128,0)			     #C(#FFFF00)神王之子#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【145级】神王之子#n（未完成）	     通关副本#C(#FFFF00)神王之子#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【145级】神王之子#C(#00EE00)（已完成）#n	     通关副本#C(#FFFF00)神王之子#n	#K(dlg,SHOW_DUNGEON)	#K(get_award,152)
153	152	146	18888	0	0	0	3	(129,0)			     #C(#FFFF00)红衣祭司#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【146级】红衣祭司#n（未完成）	     通关副本#C(#FFFF00)红衣祭司#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【146级】红衣祭司#C(#00EE00)（已完成）#n	     通关副本#C(#FFFF00)红衣祭司#n	#K(dlg,SHOW_DUNGEON)	#K(get_award,153)
154	153	147	18888	0	0	0	3	(130,0)			     #C(#FFFF00)绝美艳后#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【147级】绝美艳后#n（未完成）	     通关副本#C(#FFFF00)绝美艳后#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【147级】绝美艳后#C(#00EE00)（已完成）#n	     通关副本#C(#FFFF00)绝美艳后#n	#K(dlg,SHOW_DUNGEON)	#K(get_award,154)
155	154	148	18888	0	0	0	3	(131,0)			     #C(#FFFF00)圣辉护卫#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【148级】圣辉护卫#n（未完成）	     通关副本#C(#FFFF00)圣辉护卫#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【148级】圣辉护卫#C(#00EE00)（已完成）#n	     通关副本#C(#FFFF00)圣辉护卫#n	#K(dlg,SHOW_DUNGEON)	#K(get_award,155)
156	155	149	18888	0	0	0	3	(132,0)			     #C(#FFFF00)雷神#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【149级】雷神#n（未完成）	     通关副本#C(#FFFF00)雷神#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【149级】雷神#C(#00EE00)（已完成）#n	     通关副本#C(#FFFF00)雷神#n	#K(dlg,SHOW_DUNGEON)	#K(get_award,156)
157	156	150	18888	0	0	0	3	(133,0)			     #C(#FFFF00)月之祭司#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【150级】月之祭司#n（未完成）	     通关副本#C(#FFFF00)月之祭司#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【150级】月之祭司#C(#00EE00)（已完成）#n	     通关副本#C(#FFFF00)月之祭司#n	#K(dlg,SHOW_DUNGEON)	#K(get_award,157)
158	157	151	18888	0	0	0	3	(134,0)			     #C(#FFFF00)龙统领#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【151级】龙统领#n（未完成）	     通关副本#C(#FFFF00)龙统领#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【151级】龙统领#C(#00EE00)（已完成）#n	     通关副本#C(#FFFF00)龙统领#n	#K(dlg,SHOW_DUNGEON)	#K(get_award,158)
159	158	152	18888	0	0	0	3	(135,0)			     #C(#FFFF00)龙射手#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【152级】龙射手#n（未完成）	     通关副本#C(#FFFF00)龙射手#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【152级】龙射手#C(#00EE00)（已完成）#n	     通关副本#C(#FFFF00)龙射手#n	#K(dlg,SHOW_DUNGEON)	#K(get_award,159)
160	159	153	18888	0	0	0	3	(136,0)			     #C(#FFFF00)刀锋勇士#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【153级】刀锋勇士#n（未完成）	     通关副本#C(#FFFF00)刀锋勇士#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【153级】刀锋勇士#C(#00EE00)（已完成）#n	     通关副本#C(#FFFF00)刀锋勇士#n	#K(dlg,SHOW_DUNGEON)	#K(get_award,160)
161	160	154	18888	0	0	0	3	(137,0)			     #C(#FFFF00)太阳神#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【154级】太阳神#n（未完成）	     通关副本#C(#FFFF00)太阳神#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【154级】太阳神#C(#00EE00)（已完成）#n	     通关副本#C(#FFFF00)太阳神#n	#K(dlg,SHOW_DUNGEON)	#K(get_award,161)
162	161	155	18888	0	0	0	3	(138,0)			     #C(#FFFF00)精英死亡守卫#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【155级】精英死亡守卫#n（未完成）	     通关副本#C(#FFFF00)精英死亡守卫#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【155级】精英死亡守卫#C(#00EE00)（已完成）#n	     通关副本#C(#FFFF00)精英死亡守卫#n	#K(dlg,SHOW_DUNGEON)	#K(get_award,162)
163	162	156	18888	0	0	0	3	(139,0)			     #C(#FFFF00)精英死亡勇士#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【156级】精英死亡勇士#n（未完成）	     通关副本#C(#FFFF00)精英死亡勇士#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【156级】精英死亡勇士#C(#00EE00)（已完成）#n	     通关副本#C(#FFFF00)精英死亡勇士#n	#K(dlg,SHOW_DUNGEON)	#K(get_award,163)
164	163	157	18888	0	0	0	3	(140,0)			     #C(#FFFF00)精英圣城守卫#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【157级】精英圣城守卫#n（未完成）	     通关副本#C(#FFFF00)精英圣城守卫#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【157级】精英圣城守卫#C(#00EE00)（已完成）#n	     通关副本#C(#FFFF00)精英圣城守卫#n	#K(dlg,SHOW_DUNGEON)	#K(get_award,164)
165	164	158	18888	0	0	0	3	(141,0)			     #C(#FFFF00)精英圣城勇士#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【158级】精英圣城勇士#n（未完成）	     通关副本#C(#FFFF00)精英圣城勇士#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【158级】精英圣城勇士#C(#00EE00)（已完成）#n	     通关副本#C(#FFFF00)精英圣城勇士#n	#K(dlg,SHOW_DUNGEON)	#K(get_award,165)
166	165	159	18888	0	0	0	3	(142,0)			     #C(#FFFF00)精英骷髅王#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【159级】精英骷髅王#n（未完成）	     通关副本#C(#FFFF00)精英骷髅王#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【159级】精英骷髅王#C(#00EE00)（已完成）#n	     通关副本#C(#FFFF00)精英骷髅王#n	#K(dlg,SHOW_DUNGEON)	#K(get_award,166)
900	0	60	0	10000	0	[(25683,20)]	13	(1,0)			     #C(#FFFF00)星灵金牛座#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【60级】星灵金牛座#n（未完成）	     #C(#FFFF00)解锁星灵金牛座#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【60级】星灵金牛座#C(#00EE00)（已完成）#n	     #C(#FFFF00)解锁星灵金牛座#n	#K(dlg,OPEN_XL_PANEL)	#K(get_award,900)
